id,label,obsolete,ordering
stringField1,stringField1,0,0
stringField2,stringField2,0,10
stringField3,stringField3,0,20
stringField4,stringField4,0,30
stringField5,stringField5,0,40
stringField6,stringField6,0,50
stringField7,stringField7,0,60
stringField8,stringField8,0,70
stringField9,stringField9,0,80
stringField10,stringField10,0,90
stringField11,stringField11,0,100
stringField12,stringField12,0,110
stringField13,stringField13,0,120
stringField14,stringField14,0,130
stringField15,stringField15,0,140
stringField16,stringField16,0,150
stringField17,stringField17,0,160
stringField18,stringField18,0,170
stringField19,stringField19,0,180
stringField20,stringField20,0,190


