"id","label","parent","obsolete"
"Nuxeo Branding colors","Nuxeo Branding colors","","0"
"--nuxeo-app-font","--nuxeo-app-font","Nuxeo Branding colors","0"
"--nuxeo-text-default","--nuxeo-text-default","Nuxeo Branding colors","0"
"--nuxeo-primary-color","--nuxeo-primary-color","Nuxeo Branding colors","0"
"--nuxeo-secondary-color","--nuxeo-secondary-color","Nuxeo Branding colors","0"
"--nuxeo-page-background","--nuxeo-page-background","Nuxeo Branding colors","0"
"--nuxeo-border","--nuxeo-border","Nuxeo Branding colors","0"
"App Header","App Header","","0"
"--nuxeo-app-header","--nuxeo-app-header","App Header","0"
"--nuxeo-app-header-background","--nuxeo-app-header-background","App Header","0"
"--nuxeo-app-header-pill","--nuxeo-app-header-pill","App Header","0"
"--nuxeo-app-header-pill-hover","--nuxeo-app-header-pill-hover","App Header","0"
"--nuxeo-app-header-pill-active","--nuxeo-app-header-pill-active","App Header","0"
"App Sidebar + Drawer","App Sidebar + Drawer","","0"
"--nuxeo-sidebar-background","--nuxeo-sidebar-background","App Sidebar + Drawer","0"
"--nuxeo-sidebar-menu","--nuxeo-sidebar-menu","App Sidebar + Drawer","0"
"--nuxeo-sidebar-menu-hover","--nuxeo-sidebar-menu-hover","App Sidebar + Drawer","0"
"--nuxeo-badge-background","--nuxeo-badge-background","App Sidebar + Drawer","0"
"--nuxeo-drawer-header","--nuxeo-drawer-header","App Sidebar + Drawer","0"
"--nuxeo-drawer-text","--nuxeo-drawer-text","App Sidebar + Drawer","0"
"--nuxeo-drawer-background","--nuxeo-drawer-background","App Sidebar + Drawer","0"
"App Quick Search","App Quick Search","","0"
"--nuxeo-quicksearch-text","--nuxeo-quicksearch-text","App Quick Search","0"
"--nuxeo-quicksearch-background","--nuxeo-quicksearch-background","App Quick Search","0"
"Tags & Pills","Tags & Pills","","0"
"--nuxeo-tag-background","--nuxeo-tag-background","Tags & Pills","0"
"--nuxeo-tag-text","--nuxeo-tag-text","Tags & Pills","0"
"--nuxeo-pill-filter-background","--nuxeo-pill-filter-background","Tags & Pills","0"
"--nuxeo-pill-filter-background-active:","--nuxeo-pill-filter-background-active:","Tags & Pills","0"
"Boxes, Tables & Listings","Boxes, Tables & Listings","","0"
"--nuxeo-box","--nuxeo-box","Boxes, Tables & Listings","0"
"--nuxeo-table-header-background","--nuxeo-table-header-background","Boxes, Tables & Listings","0"
"--nuxeo-table-items-background","--nuxeo-table-items-background","Boxes, Tables & Listings","0"
"--nuxeo-grid-selected","--nuxeo-grid-selected","Boxes, Tables & Listings","0"
"Buttons & Links","Buttons & Links","","0"
